task_code,patternid_1,group_1,patternid_2,group_2,patternid_3,group_3,patternid_4,group_4,patternid_5,group_5,patternid_6,group_6,patternid_7,group_7,patternid_8,group_8,patternid_9,group_9,patternid_10,group_10
spam,58,. Call 0845; . Call 09066358361; . Call 08715203649; . Call 09050000460; . Call 08718738001,100,", 5 Â£500; ! 16 SN; . 36504 W45WQ; . 2End STOP; . 08718720201 PO",4,Kidz Friends; Voucher Holder; STAR Ibiza; Bt V; Dear Matthew,34,FREE; Free; free,98,. Vijay; . good; . who; . Wife; . Call,36,", 10.1mega pixels; . 1Lemon Day; . One colour; ! 2 mobile; ! one vid",1,2; one; 09058094565; 4; three,30,Call 0871 -; call 09061221061 .; Call 09050090044 .; Call 09061790125 .; call 09061744553 !,90,call; story; Moral; message,31,- sub 4; ... Thanx 4; : anything 4; ! Mobile 07808726822; - balance 500
spam,2,Â£3 10; Account 078; SPOOK 8007; KL341 12; Txt 88039,65,CONVINCED that.i will; Tmr u'll have; SiPix Digital call; Truth Gravity Read; @Warner Village get,25,Wipe Off; Joanna if; Lindsay on; de.am in; Text to,33,+; /; -,69,for Auction; for Accident; on Orange; from BT; in UK,84,- S. I. M.; ! Mobile Update Co; ! T Cs SavaMob; ! Txt CHAT 150p; ! Mr. T. Foley,6,by 67441233; on 02/06/03; in 2; to 86688; for 4,15,1000s 2; 5249 92H.; 177 16; five ||; 4 3,88,to; na; ta,44,. Ldew.com.subs16; . Hrishi; . Nite; . GOD; . Evry
spam,25,MobilesDirect on; Tsunamis from; Aiyah like; Beth at; Linerental on,4,UR BAHAMAS; Mailbox Messaging; Sptv New; Pleasure Pain; EURO2004 CUP,28,txt; Txt; txts,24,Mobile Upd8 08000839402; Txt to 80082; TXT to 80160; Account for 07808247860; CHAT to 86688,40,NOKIA to; RINGTONE to; text to; day to; response to,35,"3680.Offer . T&C; 0906346330 . ABTA; 7 , Langport; 4 ! bx420-ip4; 1.50p . T&C",46,Call Identifier Code; offer Video Phone; pm DPS Bcm; revision Keris bin; SOMETHING SAT GOT,80,I. . Call; GUARANTEED . Call; Â£800 . Call; PREMIER . Call,47,points Call Identifier; discount vouchers Text; OKDEN HUNNY UIN; BABY!HOPE BETTERSN LUV,1,5; 3; 09066612661; 1.20; 09058098002
spam,3,". 4; . 09064012160; . 0845; ! 1; , 4*Lux",18,REVEAL who; Â£200 spree; STUPID U; Sry jst; 10am-7pm Cost,2,MobileUpd8 08000839402; Subscriber 4; Â£350 08712300220; Account 07742676969; STOP 8552,22,"Camcorder ?; Chance !; Haha ...; Amy ,; K ,",72,on; in; after; of; v,27,2 met; 87121 receive; 8 come; 2u2 d; 2 sit,63,a Â£350; a BT; a Secret; No POLYPHONIC; that Newport,49,"PHP . RG21; URGENT ! Mobile; Norcorp . Â£1,50/Mtmsgrcvd18; URGENT ! number; Msg : http://tms",95,MONOC 4 POLYC; STOP 8552 SAM; Phone 40 GB; PO 114/14 TCR; NOW!REPLY 2 June,90,number; result; MORAL; words
spam,82,! fifteen; ! 1; ! 09061743806; ! 4; ! 2MRW,39,claim; Claim,93,Digital call; Bluetooth Call; M. Call; Reply Call; UR call,75,lt;#&gt minutes; Congrats mobile; place I.ll; payasam rinu; theory test,19,5.15pm to; 08000930705 for; 2003 for; two of; 2 in,97,087018728737 National .; 87066 Ts&Cs .; 07732584351 Rodger -; 150p Msg .,30,call 08718730666 (; call 09061213237 .; call 09063458130 !; Call 09066362206 !; Call 09066368753 !,11,88039 .; 447797706009 ?; 83355 !; 4 ...; 2 .,20,Your 4; Urgent 09066350750; Free 08002888812; first 2; your 4,38,prize Call; somethin call; pounds call; weekend calls; machan Call
spam,53,win; won; WON,99,TXT to; what to; weekends that; fr by; leave on,6,to 81618; to 85023; to 80608; ac 2; at 1,67,"? With 200; "" Because 2; - on 09065171142-stopsms-08; . At 6; . to 69696",36,- 3 hrs; ... 2 Ã¼; ! 09061221061 landline; ! 2 mobile; : 45239 Expires,74,at 5 .; at 8.30 .; in 2 .; like 5 ?; from 09111032124 .,83,""" to 85069; : to 80608; . to 80182; "" to 87131; , to 25p",64,"Identifier 41685 Expires; Tenerife Â£10,000 cash; GUARANTEED 09061104283 www.smsco.net; TONE 8007 eg; Silent 6 Spl",68,Call 09061104283 www.smsco.net; call 09050002311 b4280703; call 08000930705 delivery; call 09061221066 landline; call 08712300220 claim,78,". to; - to; ! to; , to"
spam,79,Prize; prize,100,! 2003 Account; . 0 Games; ! 150p Msg; . 08718720201 PO,58,. Call 0207; . call 09061744553; . Call 08000839402; . Call 08001950382; . Call 0800,87,! 0871 -; ! 25 !; ( 18 ); ! 4 *,7,09064018838 NTT; 2 CANCEL; 4 Costa; 1/2 Linerental; 500 New,37,". Txt 88039.SkilGme; . Txt 69696; ; AfterNoon 1,His; : Claim 250; , Bcm 8027",15,2mrw 4; 150ppm 16; 177 16; 2 3; 5.Terror 6.Cruel,85,Call 08715203694; story ten; reply 2; Reply 08000930705; Call 08715203685,23,Muz b guy; Dload polypH music; Ur TONEXS subscription; Tata AIG who; NOKIA6600 Mobile Â£10,57,is Frankie Bennys; 2U LOVEME XXXX; need Velusamy sir; Imagine Life ME; have Secret Admirer
spam,62,to,5,Call 08712402050; Call 0800; call 08717509990; CALL 09061702893; call 08712101358,86,", life; u country; u need; ; friends; . style",13,Txt CHAT 150p; Moby Pub Quiz; THANX4 TODAY CER; Usher Britney FML; Mailbox Messaging SMS,55,won Â£800; WORK HEY; win Arcade; FREE Nokia; Excellent english,52,"4 . lunch; 2,Police . 3,Wife; 4 . Cos; 83738 . luck; 4u : Congratulations",42,text to; tones to; Call to; outages to; up to,45,Nokia .; URGENT .; BOX139 .; california .; Dick .,9,to 8007; to 80062; to 09058099801; to 5; To 09061701444,10,ACCEPT; EURO2004; monday; Services; New
spam,8,up U.; mobile T; fri N; ans BSLVYL; Today ACCEPT,61,. REVEAL U; . Claim C52; . Customer Loyalty; . SP Tyrone,96,"miracle jesus ..; prize GUARANTEED .; Titles GHOST ,; Row W1J6HL .; SMS SERVICES .",34,FREE; free,88,to,71,discount; cash; credits; Bonus; CASH,32,enter Weekly; had Pete; find Laugh; must dead!Well; Start Prepare,91,2 . 8.Neighbour; 0871 - 872; 1 . 2; 8552 . 2End; 08000407165 ( 18,98,. Text; . abt; . Call; . claim; . time,70,SPOOK to; Txt to; TONE to; Monday to
spam,43,!,29,Â£350 Dial 08712300220; M. points 08719899229; Box fixedline 150ppm; Mobile freefone 08000839402; Cust care 07821230901,48,TONE Txt ON; No1 Nokia ur; LUV OVERDOSE OF; SAME LETS ABOUT,65,LOG ONTO HTTP://WWW.URAWINNER.COM; Reply STOP end; Bluetooth FREE Call; Dear Shijutta Have; Simpsons Movie released,33,+; /; -; #,21,"* Tenerife Holiday; ? Motorola Nokia; . Nokia Tone; , Ahmad Saeed; ! Holiday Worth",92,call 08719180248; call 09066350750; Call 09058094455; call 08707509020; Call 09061790125,81,62735=Â£450 UK terms; 4mths Orange line; 2 GO COLLEGE; 8007 Classic tones; 36504 W45WQ tone,73,AlertFrom Jeri StewartSize 2KBSubject; Club4 PO Box1146 2WT; NTT Ltd PO 1327; Santa Xmas Eve 09077818151; T&C BOX139 LA32WU 16,44,. NEO69; . m8s; . Abiola; . John; . Iraq
spam,69,Â£100 Travel; TO YOR; on da; within T; from Sugababes,41,mobile,50,to 69101 .; to 087147123779am-7pm .; to 88877 .; to 83355 !; to 85069 .,16,call; Call; CALL,17,. Nokia; . Hint; . Dad; . SP; . Mobile,54,2 easy; Two cool; 2 our; 500 genuine; 2 free,89,Deeraj 5min hold; Xmas prize claim; Break terms conditions; Tones network operator; IDPS linux systems,12,dat str 2; word DRAW 87066; CASH award 09061743806; dice art 6; Text stop 150p,77,child reply; rate call; points Call; meet Call; what account,14,". 2; . 1,His; . 3GBP; . 09061701939; . 28"
spam,51,DRUNK U; perpetual DD; Final Chance; new UK; his Queen,59,Identifier 40411; Call 09050090044; TITLE 8007; record one; Reply 08000930705,31,. Claim 3030; . Delivery 28; . Press 9; . Call 08719899229; . Call 08719899217,66,Subscription 18 .; RED ONE .; PO 177 .; WIN 80086 .; Claim 09071517866 !,84,". Player Wins Min; - S. I. M.; ! T Cs Â£3.00; , SonyEricsson Nokia FREE; ( Bank Granite Strong",56,eg GIRL 18; lor Ãœ 4; YOURJOB U 2; Call FREEPHONE 0800; VIP Tickets 2,76,thing; call; fun; message; request,94,Call once; call on; call at; CALL to,60,Sptv : New; SP : Tyrone; Melle ( Oru; Free ! Mobile; TONE . TOP,26,"Jada . 4; DPS , 8027; Callers . 9; GUARANTEED . 09066358361; Phoenix ( 5"
